video_id,key,song_name,artist_name,beef_id,track_category,release_date,collected_at,view_count,comment_count,like_count,channel_title,video_title
wK-8TCDrbV8,b4_post_mgk_03,I Think I'm OKAY,MGK,b4,post,2019-06-13,2026-07-15T01:51:00.514146+00:00,144413936,49790,1317415,MGKVEVO,Machine Gun Kelly - I Think I'm OKAY [Official Music Video]
z7kYa5GQYKg,b4_post_mgk_04,Candy ft. Trippie Redd,MGK,b4,post,2019-07-09,2026-07-15T01:51:00.514146+00:00,100796432,44935,1242932,MGKVEVO,"Machine Gun Kelly, Trippie Redd - Candy (Official Music Video)"
0tn6nWYNK3Q,b4_post_mgk_05,forget me too ft. Halsey,MGK,b4,post,2020-10-22,2026-07-15T01:51:00.514146+00:00,95887598,31334,940632,MGKVEVO,Machine Gun Kelly ft. Halsey - forget me too (Official Music Video)
t61T0Wu7slg,b5_post_wayne_02,Don't Cry ft. XXXTENTACION,Lil Wayne,b5,post,2024-10-02,2026-07-15T01:51:00.514146+00:00,9848149,12332,355172,LilWayneVEVO,Lil Wayne - Don't Cry ft. XXXTENTACION
MGb5VUeartE,b5_post_wayne_03,Peanuts 2 N Elephants,Lil Wayne,b5,post,2025-06-06,2026-07-15T01:51:00.514146+00:00,1405348,6246,18554,LilWayneVEVO,Lil Wayne - Peanuts 2 N Elephants (Visualizer)
Qlr1llwBQt8,b5_post_wayne_04,Big Worm,Lil Wayne,b5,post,2024-09-30,2026-07-15T01:51:00.514146+00:00,1177777,3136,40887,LilWayneVEVO,Lil Wayne - Big Worm
7DoEYRPiEjo,b5_post_wayne_05,Bells (Visualizer),Lil Wayne,b5,post,2025-06-06,2026-07-15T01:51:00.514146+00:00,2431353,4370,39938,LilWayneVEVO,Lil Wayne - Bells (Visualizer)
8LJqoRMyFSo,b5_post_birdman_02,Cap Talk ft. YoungBoy Never Broke Again,Birdman,b5,post,2019-04-26,2026-07-15T01:51:00.514146+00:00,31013429,9690,318351,BirdmanVEVO,Birdman - Cap Talk ft. YoungBoy Never Broke Again
b3S0N20zxCU,b5_post_birdman_03,Just Another Gangsta ft. Juvenile,Birdman,b5,post,2019-02-22,2026-07-15T01:51:00.514146+00:00,18229896,14165,210091,BirdmanVEVO,"Birdman, Juvenile - Just Another Gangsta"
49Ggx4ZafL8,b5_post_birdman_04,"Ride Dat ft. Juvenile, Lil Wayne",Birdman,b5,post,2019-09-13,2026-07-15T01:51:00.514146+00:00,5044126,6069,90914,BirdmanVEVO,"Birdman, Juvenile - Ride Dat ft. Lil Wayne"
a78G2OPKuD8,b5_post_birdman_05,"STUNNAMAN ft. Roddy Ricch, Lil Wayne",Birdman,b5,post,2021-05-21,2026-07-15T01:51:00.514146+00:00,10535452,9390,189159,BirdmanVEVO,"Birdman, Roddy Ricch, Lil Wayne - STUNNAMAN (Official Video)"
OdxSbc0ap-s,b6_post_megan_02,Mamushi ft. Yuki Chiba,Megan Thee Stallion,b6,post,2024-08-09,2026-07-15T01:51:00.514146+00:00,101052544,46380,1745877,Megan Thee Stallion,Megan Thee Stallion - Mamushi (feat. Yuki Chiba) [Official Video]
TpYTyAaTRts,b6_post_megan_03,Neva Play ft. RM,Megan Thee Stallion,b6,post,2024-09-06,2026-07-15T01:51:00.514146+00:00,55264392,93950,1736305,Megan Thee Stallion,Megan Thee Stallion - Neva Play (feat. RM) [Official Video]
QxTkZTLWdo4,b6_post_megan_04,Bigger In Texas,Megan Thee Stallion,b6,post,2024-10-25,2026-07-15T01:51:00.514146+00:00,30461111,17737,371678,Megan Thee Stallion,Megan Thee Stallion - Bigger In Texas [Official Video]
OBfCeimLNvQ,b6_post_nicki_02,Arctic Tundra ft. Juice WRLD,Nicki Minaj,b6,post,2024-11-22,2026-07-15T01:51:00.514146+00:00,2151370,7772,73245,NickiMinajAtVEVO,Nicki Minaj - Arctic Tundra (Visualizer) ft. Juice WRLD
